index	title	release date	hero	heroine	director	genre	ratings
1	Raees	2017	Shahrukh Khan	Mahira Khan	Rahul Dholakia	Action,Crime,Drama	6.8
2	Kaabil	2017	Hritik Roshan	Yami Gautam	Sanjay Gupta	Action,Drama,Thriller	7.1
3	Jab Harry Met Sejal	2017	Shahrukh Khan	Anushka Sharma	Imtiaz Ali	Comedy,Romance,Drama	5.3
4	Tiger Zinda Hai	2017	Salman Khan	Katrina Kaif	Ali Abbas Zafar	Action,Adventure,Thriller	6
5	Jolly LLB 2	2017	Akshay Kumar	Huma Qureshi	Subhash Kapoor	Comedy,Drama	7.2
6	Toilet - Ek Prem Katha	2017	Akshay Kumar	Bhumi Pednekar	Shree Narayan Singh	Comedy,Drama	7.3
7	Secret Superstar	2017	Amir Khan	Zaira Wasim	Advait Chandan	Drama,Musical	7.9
8	Hindi Medium	2017	Irrfan Khan	Saba Qamar	Saket Chaudhary	Comedy,Drama	7.8
9	The Ghazi Attack	2017	Rana Daggubati	Tapsee Pannu	Sankalp Reddy	Action,Thriller,War	7.6
10	Jagga Jasoos	2017	Ranbir Kapoor	Katrina Kaif	Anurag Basu	Action,Adventure,Comedy	6.4
11	Shaadi Mein Zaroor Aana 	2017	Rajkumar Rao	Kriti Karbhanda	Ratnaa Sinha	Drama,Family,Romance	7.6
12	Newton	2017	Rajkumar Rao	Anjali Patil	Amit Masurkar	Drama	7.7
13	Bareilly Ki Barfi	2017	Ayushman Khurana	Kriti Sanon	Ashwiny Tiwari	Comedy,Drama	7.5
14	Golmaal Again	2017	Ajay Devgan	Parineeti Chopra	Rohit Shetty	Action,Comedy,Fantasy	5
15	Ittefaq	2017	Sidharth Malhotra	Sonakshi Sinha	Abhay Chopra	Mystry,Thriller	7.2
16	Badshaho	2017	Ajay Devgan	Ileana D'Cruz	Milan Luthria	Action,Thriller	4.9
17	Nama Shabana	2017	Manajo Bajpayee	Tapsee Pannu	Shivam Nair	Action,Thriller	6.3
18	A Gentleman	2017	Sidharth Malhotra	Jaqline Fernandes	Raj Nidimoru	Action,Comedy	6.3
19	Phillauri	2017	Diljit Dosanjh	Anushka Sharma	Anshai Lal	Comedy,Drama,Fantasy	6.1
20	Shubh Mangal Saavdhan	2017	Ayushman Khurana	Bhumi Pednekar	R. S. Prasanna 	Comedy,Romance,Drama	6.9
21	Mukkabaaz	2018	Jimmy Sheirgil	Zoya Hussain	Anurag Kashyap	Action,Drama,Sport	8.1
22	Padmaavat	2018	Shahid Kapoor	Deepika Padukone	Sanjay Leela Bhansali	Drama,History,Romance	7
23	Tumbbad	2018	Sohum Shaha	Jyoti Malshe	Rahi Anil Barve	Drama,Fantasy,Horror	8.2
24	October	2018	Varun Dhawan	Banita Sandhu	Shoojit Sircar	Drama,Romance	7.5
25	Raid	2018	Ajay Devgan	Ileana D'Cruz	Rajkumar Gupta	Action,Crime,Drama	7.4
26	Hichki	2018	Rohit Saraf	Rani Mukerji	Siddharth Malhotra	Comedy,Drama	7.5
27	Karwaan	2018	Irrfan Khan	Mithila Palkar	Akarsh Khurana	Comedy,Drama	7.5
28	Gold	2018	Akshay Kumar	Mouni Roy	Reema Kagti	Drama,Histiory,Sport	7.3
29	Sonu Ke Tittu Ki Sweety	2018	Kartik Aryan	Nushrat Bharucha	Luv Ranjan	Comedy,Romance	7.1
30	102 Not Out	2018	Amitabh Bachchan		Umesh Shukla	Comedy,Drama	7.5
31	Parmanu	2018	John Abraham	Diana Penty	Abhishek Sharma	Action,Drama,History	7.7
32	Blackmail	2018	Irrfan Khan	Kirti Kulhari	Abhinay Deo	Comedy,Thriller	7
33	Pataakha	2018	Sunil Grover	Saniya Malhotra	Vishal Bhardwaj	Comedy,Action,Drama	7.2
34	SuiDhaaga	2018	Varun Dhawan	Anushka Sharma	Sharat Kataria	Comedy,Drama	6.8
35	Soorma	2018	Diljit Dosanjh	Taapsee Pannu	Shahad Ali	Drama,Biography,Sport	7.4
36	Mannmarziya	2018	Vicky Kaushal	Taapsee Pannu	Anurag Kashyap	Romance	6.9
37	Padman	2018	Akshay Kumar	Sonam Kapoor	R.Balki	Comedy,Drama	8
38	Pari	2018	Rajat Kapoor	Anushka Sharma	Prosit Roy	Fantasy,Horror,Mystry	6.6
39	3 Storeys	2018	Tarun Anand	Richa Chaddha	Arjun Mukerjee	Drama	7.1
40	Baaghi 2	2018	Tiger Shrof	Disha Patani	Ahmed Khan	Action,thriller	5
41	Raazi	2018	Vicky Kaushal	Alia Bhatt	Meghna Gulzar	Action,Drama,Thriller	7.8
42	Kaala	2018	Rajnikanth	Huma Qurashi	Pa.Ranjth	Action,Drama	6.8
43	Sanju	2018	Ranbir Kapoor	Anushka Sharma	Rajkumar Hirani	Biography,Drama	7.9
44	Mulk	2018	Rishi Kapoor	Taapsee Pannu	Anubhav Sinha	Drama	6.6
45	Satyameva Jayte	2018	John Abraham	Aisha Sharma	Milap Javeri	Action,Thriller	5.6
46	Stree	2018	Rajkumar Rao	Shraddha Kapoor	Amar Kaushik	Comedy,Horror	7.7
47	Andhadhun	2018	Ayushman Khurana	Tabu	Sriram Raghwan	Crime,Thriller	8.4
48	Badhaai Ho	2018	Ayushman Khurana	Saniya Malhotra	Amit Sharma	Comedy,Drama	8
49	Bazzar	2018	Saif Ali Khan	Radhika Apte	Gauravv Chavla	Crime,Thriller,Drama	6.6
50	2.o	2018	Akshay Kumar	Amy Jackson	S.Shankar	Action,Sci-FI	6.4
51	Zero	2018	Shah Rukh Khan	Anushka Sharma	Annand L. Rai	Comedy,Drama,Romance	5.6
52	Simmba	2018	Ranveer Singh	Sara Ali Khan 	Rohit Shetty	Action,Comedy,Drama	6.3
53	Dangal	2016	Aamir Khan	Fatima Sana Shaikh	Nitesh Tiwari	Action, Biopic, Drama	8.4
54	Airlift	2016	Akshay Kumar	Nimrat Kaur	Raja Menon	Drama, History	8
55	Dear zindagi	2016	Shahrukh Khan	Alia Bhatt	Gauri Shinde	Drama, Romance	7.6
56	M. S. Dhoni:  the untold story	2016	Sushant Singh Rajput	Kiara  Advani	Niraj Pandey	Drama, Biopic, Sports	7.7
57	Sultan	2016	Salman Khan	Anushka Sharma	Ali Abbas Zafar	Action, Drama, Sport	7.1
58	Pink	2016	Amitabh Bachchan	Taapsee Pannu	Aniruddha roy chaudhary	Drama, Thriller	6.2
59	Shivaay	2016	Ajay Devgan	Sayyesha Saighal	Ajay Devgan	Action, Drama, Thriller	8.2
60	Rustom	2016	Akshay Kumar	Ileana D'Cruz	Dharmendra Suresh Desai	crime, Drama, thriller	7.1
61	Udta Punjab	2016	Shahid Kapoor	Alia Bhatt	Abhishekh chaubey	Action, crime, Drama	7.8
62	Kapoor and sons	2016	Sidharth Malhotra	Alia Bhatt	Shakun Batra	Comedy, Drama, Romance	7.7
63	Mohenjo daro	2016	hritik Roshan	Pooja Hegde	Ashutosh Gowariker	Action, Adventure, Drama 	5.7
64	Sanam Teri Kasam	2016	Harshvardhan Rane	Mawra hocane	Radhika Rao	Drama, Romance, Musical	7.3
65	Wazir	2016	Farhan Akhtar	Aditi Roy hyadri	Bejoy Nambair	Action, crime, Drama	7.1
66	Ae dil hain Mushkil	2016	Ranbir Kapoor	Anushka Sharma 	Karan Johar	Drama, Musical	5.6
67	Ghayal Once Again	2016	Sunny Deol	Soha Ali khan	Sunny Deol	Action,Drama	6.4
68	Saala Khadoos	2016	R Madhavan	Radha Rave	Sudha Kongara	Action,Drama,Sports	7.6
69	Teen	2016	Amitabh Bachchan	Vidya Balan	Ribhu Dasgupta	Drama, Mystry, Thriller	7.3
70	Azhar	2016	Emraan Hashmi	Nargiz Fakhri	Anthony Dsouza	Biopic, Drama, Sport	5.8
71	Sarabjit	2016	Randeep Hooda	Aishwarya rai	Omung Kumar	Biopic,Drama	7.2
72	Baaghi	2016	Tiger Shrof	Shraddha Kapoor	Sabir  Khan	Action, Thriller	5.2
